t,x,z,th1,th2,dth1,dth2
0.015,2,-0.000861366,-0.00069986,0.000538354,-0.0933146,0.0717805
0.0151,2,-0.000872889,-0.000709222,0.000545556,-0.0939367,0.072259
0.0152,2,-0.000884489,-0.000718647,0.000552805,-0.0945588,0.0727375
0.0153,2,-0.000896165,-0.000728134,0.000560103,-0.0951809,0.0732161
0.0154,2,-0.000907918,-0.000737683,0.000567449,-0.095803,0.0736946
0.0155,2,-0.000919747,-0.000747295,0.000574842,-0.0964251,0.0741732
0.0156,2,-0.000931653,-0.000756968,0.000582283,-0.0970472,0.0746517
0.0157,2,-0.000943636,-0.000766704,0.000589772,-0.0976693,0.0751302
0.0158,2,-0.000955695,-0.000776502,0.000597309,-0.0982914,0.0756088
0.0159,2,-0.000967831,-0.000786362,0.000604894,-0.0989135,0.0760873
0.016,2,-0.000980043,-0.000796285,0.000612527,-0.0995356,0.0765658
0.0161,2,-0.000992332,-0.00080627,0.000620207,-0.100158,0.0770444
0.0162,2,-0.0010047,-0.000816316,0.000627936,-0.10078,0.0775229
0.0163,2,-0.00101714,-0.000826425,0.000635712,-0.101402,0.0780014
0.0164,2,-0.00102966,-0.000836597,0.000643536,-0.102024,0.07848
0.0165,2,-0.00104225,-0.00084683,0.000651408,-0.102646,0.0789585
0.0166,2,-0.00105492,-0.000857126,0.000659328,-0.103268,0.079437
0.0167,2,-0.00106767,-0.000867484,0.000667295,-0.10389,0.0799156
0.0168,2,-0.0010805,-0.000877904,0.000675311,-0.104512,0.0803941
0.0169,2,-0.0010934,-0.000888386,0.000683374,-0.105134,0.0808727
0.017,2,-0.00110638,-0.000898931,0.000691485,-0.105757,0.0813512
0.0171,2,-0.00111943,-0.000909538,0.000699644,-0.106379,0.0818297
0.0172,2,-0.00113256,-0.000920207,0.000707851,-0.107001,0.0823083
0.0173,2,-0.00114577,-0.000930938,0.000716106,-0.107623,0.0827868
0.0174,2,-0.00115905,-0.000941731,0.000724409,-0.108245,0.0832653
0.0175,2,-0.00117241,-0.000952587,0.000732759,-0.108867,0.0837439
0.0176,2,-0.00118585,-0.000963505,0.000741157,-0.109489,0.0842224
0.0177,2,-0.00119937,-0.000974485,0.000749604,-0.110111,0.0847009
0.0178,2,-0.00121296,-0.000985527,0.000758098,-0.110733,0.0851795
0.0179,2,-0.00122662,-0.000996631,0.000766639,-0.111355,0.085658
0.018,2,-0.00124037,-0.0010078,0.000775229,-0.111978,0.0861365
0.0181,2,-0.00125419,-0.00101903,0.000783867,-0.1126,0.0866151
0.0182,2,-0.00126808,-0.00103032,0.000792552,-0.113222,0.0870936
0.0183,2,-0.00128206,-0.00104167,0.000801285,-0.113844,0.0875722
0.0184,2,-0.00129611,-0.00105309,0.000810067,-0.114466,0.0880507
0.0185,2,-0.00131023,-0.00106456,0.000818896,-0.115088,0.0885292
0.0186,2,-0.00132444,-0.0010761,0.000827772,-0.11571,0.0890078
0.0187,2,-0.00133872,-0.00108771,0.000836697,-0.116332,0.0894863
0.0188,2,-0.00135307,-0.00109937,0.00084567,-0.116954,0.0899648
0.0189,2,-0.0013675,-0.0011111,0.00085469,-0.117576,0.0904434
0.019,2,-0.00138201,-0.00112289,0.000863758,-0.118199,0.0909219
0.0191,2,-0.0013966,-0.00113474,0.000872874,-0.118821,0.0914004
0.0192,2,-0.00141126,-0.00114665,0.000882038,-0.119443,0.091879
0.0193,2,-0.001426,-0.00115863,0.00089125,-0.120065,0.0923575
0.0194,2,-0.00144082,-0.00117066,0.00090051,-0.120687,0.092836
0.0195,2,-0.00145571,-0.00118276,0.000909817,-0.121309,0.0933146
0.0196,2,-0.00147068,-0.00119492,0.000919173,-0.121931,0.0937931
0.0197,2,-0.00148572,-0.00120715,0.000928576,-0.122553,0.0942716
0.0198,2,-0.00150084,-0.00121944,0.000938027,-0.123175,0.0947502
0.0199,2,-0.00151604,-0.00123178,0.000947526,-0.123797,0.0952287
0.02,2,-0.00153132,-0.0012442,0.000957073,-0.124419,0.0957072
0.0201,2,-0.00154667,-0.00125667,0.000966668,-0.125042,0.0961858
0.0202,2,-0.0015621,-0.0012692,0.00097631,-0.125664,0.0966643
