t,th1,th2,dth1,dth2
0.0184,-0.000970511,0.000694461,-0.10549,0.0754848
0.0185,-0.000981089,0.00070203,-0.106064,0.0758951
0.0186,-0.000991724,0.00070964,-0.106637,0.0763053
0.0187,-0.00100242,0.000717291,-0.10721,0.0767156
0.0188,-0.00101317,0.000724983,-0.107784,0.0771258
0.0189,-0.00102397,0.000732716,-0.108357,0.0775361
0.019,-0.00103484,0.00074049,-0.10893,0.0779463
0.0191,-0.00104576,0.000748305,-0.109504,0.0783565
0.0192,-0.00105674,0.000756161,-0.110077,0.0787668
0.0193,-0.00106777,0.000764059,-0.11065,0.079177
0.0194,-0.00107887,0.000771997,-0.111223,0.0795873
0.0195,-0.00109002,0.000779976,-0.111797,0.0799975
0.0196,-0.00110123,0.000787996,-0.11237,0.0804078
0.0197,-0.00111249,0.000796058,-0.112943,0.080818
0.0198,-0.00112382,0.00080416,-0.113517,0.0812282
0.0199,-0.0011352,0.000812303,-0.11409,0.0816385
0.02,-0.00114663,0.000820488,-0.114663,0.0820487
0.0201,-0.00115813,0.000828713,-0.115237,0.082459
0.0202,-0.00116968,0.000836979,-0.11581,0.0828692
0.0203,-0.00118129,0.000845287,-0.116383,0.0832795
0.0204,-0.00119296,0.000853635,-0.116957,0.0836897
0.0205,-0.00120468,0.000862025,-0.11753,0.0840999
0.0206,-0.00121646,0.000870455,-0.118103,0.0845102
0.0207,-0.0012283,0.000878927,-0.118677,0.0849204
0.0208,-0.0012402,0.000887439,-0.11925,0.0853307
0.0209,-0.00125215,0.000895993,-0.119823,0.0857409
0.021,-0.00126416,0.000904588,-0.120397,0.0861512
0.0211,-0.00127623,0.000913223,-0.12097,0.0865614
0.0212,-0.00128836,0.0009219,-0.121543,0.0869716
0.0213,-0.00130054,0.000930618,-0.122117,0.0873819
0.0214,-0.00131278,0.000939376,-0.12269,0.0877921
0.0215,-0.00132508,0.000948176,-0.123263,0.0882024
0.0216,-0.00133743,0.000957017,-0.123836,0.0886126
0.0217,-0.00134985,0.000965898,-0.12441,0.0890228
0.0218,-0.00136232,0.000974821,-0.124983,0.0894331
0.0219,-0.00137484,0.000983785,-0.125556,0.0898433
0.022,-0.00138743,0.00099279,-0.12613,0.0902536
0.0221,-0.00140007,0.00100184,-0.126703,0.0906638
0.0222,-0.00141277,0.00101092,-0.127276,0.0910741
0.0223,-0.00142552,0.00102005,-0.12785,0.0914843
0.0224,-0.00143834,0.00102922,-0.128423,0.0918945
0.0225,-0.00145121,0.00103843,-0.128996,0.0923048
0.0226,-0.00146414,0.00104768,-0.12957,0.092715
0.0227,-0.00147712,0.00105697,-0.130143,0.0931253
0.0228,-0.00149017,0.00106631,-0.130716,0.0935355
0.0229,-0.00150327,0.00107568,-0.13129,0.0939457
0.023,-0.00151642,0.00108509,-0.131863,0.094356
0.0231,-0.00152964,0.00109455,-0.132436,0.0947662
0.0232,-0.00154291,0.00110405,-0.13301,0.0951765
0.0233,-0.00155624,0.00111359,-0.133583,0.0955867
0.0234,-0.00156963,0.00112317,-0.134156,0.095997
0.0235,-0.00158307,0.00113279,-0.134729,0.0964072
0.0236,-0.00159657,0.00114245,-0.135303,0.0968174
0.0237,-0.00161013,0.00115215,-0.135876,0.0972277
0.0238,-0.00162375,0.00116189,-0.136449,0.0976379
0.0239,-0.00163742,0.00117168,-0.137023,0.0980482
0.024,-0.00165115,0.0011815,-0.137596,0.0984584
0.0241,-0.00166494,0.00119137,-0.138169,0.0988686
0.0242,-0.00167879,0.00120128,-0.138743,0.0992789
0.0243,-0.00169269,0.00121122,-0.139316,0.0996891
0.0244,-0.00170665,0.00122121,-0.139889,0.100099
0.0245,-0.00172067,0.00123124,-0.140463,0.10051
0.0246,-0.00173474,0.00124132,-0.141036,0.10092
0.0247,-0.00174887,0.00125143,-0.141609,0.10133
0.0248,-0.00176306,0.00126158,-0.142183,0.10174
0.0249,-0.00177731,0.00127178,-0.142756,0.102151
0.025,-0.00179162,0.00128201,-0.143329,0.102561
0.0251,-0.00180598,0.00129229,-0.143903,0.102971
0.0252,-0.0018204,0.00130261,-0.144476,0.103381
0.0253,-0.00183487,0.00131296,-0.145049,0.103792
0.0254,-0.00184941,0.00132336,-0.145622,0.104202
0.0255,-0.001864,0.0013338,-0.146196,0.104612
0.0256,-0.00187865,0.00134429,-0.146769,0.105022
0.0257,-0.00189335,0.00135481,-0.147342,0.105432
0.0258,-0.00190811,0.00136537,-0.147916,0.105843
0.0259,-0.00192293,0.00137598,-0.148489,0.106253
0.026,-0.00193781,0.00138662,-0.149062,0.106663
0.0261,-0.00195275,0.00139731,-0.149636,0.107073
0.0262,-0.00196774,0.00140804,-0.150209,0.107484
0.0263,-0.00198279,0.00141881,-0.150782,0.107894
0.0264,-0.00199789,0.00142962,-0.151356,0.108304
0.0265,-0.00201306,0.00144047,-0.151929,0.108714
0.0266,-0.00202828,0.00145136,-0.152502,0.109125
0.0267,-0.00204356,0.00146229,-0.153076,0.109535
0.0268,-0.0020589,0.00147327,-0.153649,0.109945
0.0269,-0.00207429,0.00148428,-0.154222,0.110355
0.027,-0.00208974,0.00149534,-0.154796,0.110766
0.0271,-0.00210525,0.00150644,-0.155369,0.111176
0.0272,-0.00212081,0.00151757,-0.155942,0.111586
